"Agriculture Year",Crop,Area,Area_unit,Production,Production_unit,Productivity,Productivity_unit
1955-56,Paddy,759353,Hectare,869000,MT,1144,"Kg/ Hect"
1956-57,Paddy,781398,Hectare,1051000,MT,1345,"Kg/ Hect"
1957-58,Paddy,766774,Hectare,910000,MT,1187,"Kg/ Hect"
1958-59,Paddy,768435,Hectare,939400,MT,1222,"Kg/ Hect"
1959-60,Paddy,768966,Hectare,1021600,MT,1329,"Kg/ Hect"
1960-61,Paddy,778926,Hectare,1050700,MT,1349,"Kg/ Hect"
1961-62,Paddy,752704,Hectare,988200,MT,1313,"Kg/ Hect"
1962-63,Paddy,802676,Hectare,1075900,MT,1340,"Kg/ Hect"
1963-64,Paddy,805083,Hectare,1128100,MT,1401,"Kg/ Hect"
1964-65,Paddy,801121,Hectare,1121400,MT,1400,"Kg/ Hect"
1965-66,Paddy,802329,Hectare,997400,MT,1243,"Kg/ Hect"
1966-67,Paddy,799438,Hectare,1084000,MT,1356,"Kg/ Hect"
1967-68,Paddy,809544,Hectare,1124000,MT,1388,"Kg/ Hect"
1968-69,Paddy,873871,Hectare,1251000,MT,1432,"Kg/ Hect"
1969-70,Paddy,874059,Hectare,1226400,MT,1403,"Kg/ Hect"
1970-71,Paddy,874830,Hectare,1298000,MT,1484,"Kg/ Hect"
1971-72,Paddy,875157,Hectare,1352000,MT,1545,"Kg/ Hect"
1972-73,Paddy,873704,Hectare,1376000,MT,1575,"Kg/ Hect"
1973-74,Paddy,874675,Hectare,1257100,MT,1437,"Kg/ Hect"
1974-75,Paddy,881466,Hectare,1333900,MT,1513,"Kg/ Hect"
1975-76,Paddy,876022,Hectare,1329400,MT,1518,"Kg/ Hect"
1976-77,Paddy,854374,Hectare,1254000,MT,1468,"Kg/ Hect"
1977-78,Paddy,840374,Hectare,1294600,MT,1541,"Kg/ Hect"
1978-79,Paddy,799238,Hectare,1272700,MT,1592,"Kg/ Hect"
1979-80,Paddy,793266,Hectare,1299700,MT,1638,"Kg/ Hect"
1980-81,Paddy,801699,Hectare,1271900,MT,1587,"Kg/ Hect"
1981-82,Paddy,806871,Hectare,1339900,MT,1661,"Kg/ Hect"
1982-83,Paddy,778499,Hectare,1306200,MT,1678,"Kg/ Hect"
1983-84,Paddy,740086,Hectare,1207900,MT,1632,"Kg/ Hect"
1984-85,Paddy,730379,Hectare,1255900,MT,1720,"Kg/ Hect"
1985-86,Paddy,678281,Hectare,1173100,MT,1729,"Kg/ Hect"
1986-87,Paddy,663803,Hectare,1133800,MT,1708,"Kg/ Hect"
1987-88,Paddy,604082,Hectare,1032600,MT,1709,"Kg/ Hect"
1988-89,Paddy,577557,Hectare,1012600,MT,1753,"Kg/ Hect"
1989-90,Paddy,583388,Hectare,1141200,MT,1956,"Kg/ Hect"
1990-91,Paddy,559450,Hectare,1086600,MT,1942,"Kg/ Hect"
1991-92,Paddy,541327,Hectare,1060400,MT,1959,"Kg/ Hect"
1992-93,Paddy,537608,Hectare,1084900,MT,2018,"Kg/ Hect"
1993-94,Paddy,507832,Hectare,1003900,MT,1977,"Kg/ Hect"
1994-95,Paddy,503290,Hectare,975100,MT,1937,"Kg/ Hect"
1995-96,Paddy,471150,Hectare,953000,MT,2022,"Kg/ Hect"
1996-97,Paddy,430826,Hectare,871400,MT,2023,"Kg/ Hect"
1997-98,Paddy,387122,Hectare,764600,MT,1975,"Kg/ Hect"
1998-99,Paddy,352631,Hectare,726700,MT,2061,"Kg/ Hect"
1999-00,Paddy,349774,Hectare,770700,MT,2203,"Kg/ Hect"
2000-01,Paddy,347455,Hectare,751300,MT,2162,"Kg/ Hect"
2001-02,Paddy,322368,Hectare,703500,MT,2182,"Kg/ Hect"
2002-03,Paddy,310521,Hectare,685900,MT,2218,"Kg/ Hect"
2003-04,Paddy,287340,Hectare,570000,MT,1984,"Kg/ Hect"
2004-05,Paddy,289974,Hectare,667100,MT,2295,"Kg/ Hect"
2005-06,Paddy,275742,Hectare,630000,MT,2285,"Kg/ Hect"
2006-07,Paddy,263529,Hectare,641575,MT,2435,"Kg/ Hect"
2007-08,Paddy,228938,Hectare,528488,MT,2308,"Kg/ Hect"
2008-09,Paddy,234265,Hectare,590241,MT,2520,"Kg/ Hect"
2009-10,Paddy,234013,Hectare,598339,MT,2557,"Kg/ Hect"
2010-11,Paddy,213187,Hectare,522738,MT,2452,"Kg/ Hect"
2011-12,Paddy,208161,Hectare,568993,MT,2733,"Kg/ Hect"
2012-13,Paddy,197277,Hectare,508299,MT,2577,"Kg/ Hect"
2013-14,Paddy,199611,Hectare,564325,MT,2827,"Kg/ Hect"
2014-15,Paddy,198159,Hectare,562092,MT,2837,"Kg/ Hect"
2015-16,Paddy,196870,Hectare,549275,MT,2790,"Kg/ Hect"
2016-17,Paddy,171398,Hectare,436483,MT,2547,"Kg/ Hect"
2017-18,Paddy,194235,Hectare,521310,MT,2684,"Kg/ Hect"
2018-19,Paddy,202907,Hectare,578256,MT,2920,"Kg/ Hect"
2019-20,Paddy,198180,Hectare,587078,MT,3073,"Kg/ Hect"
2020-21,Paddy,205040,Hectare,633736,MT,3091,"Kg/ Hect"
2021-22,Paddy,195734,Hectare,562097,MT,2872,"Kg/ Hect"
1955-56,Coconut,447952,Hectare,3099,"Million Nuts",6919,"Nuts/ Hectare"
1956-57,Coconut,459733,Hectare,3132,"Million Nuts",6813,"Nuts/ Hectare"
1957-58,Coconut,463282,Hectare,3199,"Million Nuts",6904,"Nuts/ Hectare"
1958-59,Coconut,475690,Hectare,3248,"Million Nuts",6830,"Nuts/ Hectare"
